"Guid","SBQQ__Active__c","SBQQ__AscendingNestedLevel__c","SBQQ__DescendingActionNesting__c","SBQQ__DescendingNestedLevel__c","SBQQ__ProductFeature__c","SBQQ__ProductRule__c","SBQQ__Product__c"
5f7b8168-6608-4de5-850e-1c0c915d5a61,true,"#N/A","#N/A","#N/A","#N/A",6bfbc645-98cd-467a-9fd3-579c89240bcb,"#N/A"
85f2df43-acc3-4890-9e90-7d3320b97768,false,"#N/A","#N/A","#N/A","#N/A",7af7d803-9981-44b0-8d35-25c8bddeabab,"#N/A"
b62b3786-7c9d-453c-9ed5-b6dd04cb971a,true,"#N/A","#N/A","#N/A",48e68b06-ccc4-4eef-8cb3-4a2565cbbb86,7af7d803-9981-44b0-8d35-25c8bddeabab,"#N/A"
