"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
6eb227b2-a4ed-4c3f-889d-8ff90e391b4c,"#N/A","#N/A","#N/A",27327562-1c77-485b-af79-b9cac4c7b984,false,6bfbc645-98cd-467a-9fd3-579c89240bcb,Add,"#N/A","#N/A"
e7dde6c9-a16e-4ec0-b18e-173264a9b79f,"#N/A","#N/A","#N/A",6e3dd98a-a40c-4c92-9d70-0075065963c4,true,7af7d803-9981-44b0-8d35-25c8bddeabab,Add,"#N/A","#N/A"
